2047 249
2047 1244
2047 1361
2047 148
2047 206
2047 1369
2047 1326
2047 235
2047 255
-161 1190
1434 1096
-864 43
2047 433
2047 1542
-722 157
2047 191
-1839 930
2047 1177
-2025 13
-2048 84
2047 1276
2047 1307
2047 113
-2048 187
-882 980
2047 2032
-1795 453
-1904 -195
-2048 -495
2047 45
-2047 -515
-2020 -1141
-2048 -240
2047 37
2047 -760
-232 -757
-2048 -90
-2047 -292
-2046 -1344
-2046 -1252
-1021 -422
2047 22
-2047 -746
-2039 -1171
-2048 -630
2047 66
-2048 -645
-2031 -1175
-2048 -306
-2048 -94
2047 -217
-1930 -1221
-2048 -710
-2047 -112
2047 -64
-2045 -1099
-1632 -1090
-2048 -278
2047 61
2047 -492
-571 -712
-2048 -98
-2048 -291
-2047 -1015
-2047 -1104
-174 -193
2047 1
-2000 -1240
-2048 -983
2047 66
2047 -275
-2048 -1193
-2048 -415
2047 45
2047 -512
2047 -820
-2048 -107
-2048 -176
2047 -434
-2048 -1084
-2048 -347
2047 1
1584 -1070
-2048 -616
-2048 -76
-2047 -289
2047 -561
-2048 -883
2047 45
-2047 -549
-2047 -1297
-2040 -1167
-2048 -579
359 -97
2047 -130
-2045 -1274
-1654 -1234
-2048 -906
-2047 -246
2047 42
2047 -358
-2009 -1198
-2046 -1093
-2048 -508
-2047 -129
-2048 -108
2047 -75
1542 -1113
-2048 -858
-2048 -230
-2048 -102
-2048 -181
-2047 -401
2047 -1030
-1088 -1308
-1569 -785
2047 27
2047 -154
2047 -771
-1365 -903
-2048 -272
-2048 -88
2047 -174
2047 -705
-2048 -850
-2048 -2033
-2048 -400
-2047 620
2047 883
-2047 8
653 1657
2047 127
2047 370
2047 1443
2047 269
2047 337
2047 1582
-21 177
2047 412
1872 1348
-2039 -33
-2047 147
2047 1695
1003 549
-2047 36
-71 1477
-1692 147
2047 127
2047 1394
1897 797
-2046 44
-504 1570
2047 586
2047 224
2047 1422
2047 649
-2047 48
-2042 1426
2047 1097
2047 120
2047 567
1591 1279
2047 220
-2048 452
2047 1453
-1799 34
2047 371
2047 1572
2047 268
-2048 205
2047 1653
-472 428
-2048 163
-569 1094
2047 1057
-2046 -21
2047 457
2047 1410
2047 142
-2048 228
2047 1652
2047 443
2047 256
2047 1645
2047 359
-2048 110
2047 1324
2047 937
2047 156
2047 1387
1473 953
2047 120
-2048 276
-144 1476
1967 873
2047 114
-2048 409
2047 1631
-571 306
-2046 -22
2047 472
850 1343
-1482 189
-2047 60
2047 1029
2047 1465
2047 260
2047 262
2047 1222
2047 1337
2047 381
-2048 117
2047 1063
2047 1462
-1638 131
-2047 35
-2047 746
2047 1336
2047 150
-2048 104
-2047 818
2047 1193
2047 145
2047 206
25 1161
2047 2032
-1316 739
1573 -577
2047 68
2047 39
-352 -582
-2047 -94
-2048 -373
-2045 -1225
-627 -651
-2048 -200
-2048 -239
-2048 -580
-2034 -1294
-468 -191
2047 22
-2047 -964
-2047 -905
-2048 -94
2047 -56
957 -1092
-2048 -194
-2048 -98
-2048 -423
-1194 -1271
-2048 -725
-2048 -99
-2048 -217
-2046 -874
-2041 -971
1424 -103
-2048 -157
2047 -418
-2044 -1054
-2048 -603
-2048 -98
2047 -230
-1135 -1330
-2048 -321
-2048 -186
2047 -4
-2047 -1383
336 -311
2047 -23
2047 -739
-280 -444
-2048 -105
-2048 -227
-2047 -922
-2048 -940
-2048 -82
-2048 -227
-2047 -753
-2037 -1173
-2048 -415
-2048 -65
-2048 -390
1638 -1232
-2048 -494
2047 -35
2047 -324
-2039 -1398
-1337 -553
-2048 -98
-2048 -390
-2048 -930
-1801 -1299
-359 -856
-2048 -85
2047 -31
-2048 -778
-1278 -1335
-2044 -831
-2048 -186
-2048 -94
-2048 -299
-2047 -642
1421 -1138
-1873 -863
-2047 -97
2047 -8
2047 -699
-2040 -1074
430 -576
-2048 -111
2047 -132
2047 -594
-1889 -997
-2048 -398
-2048 -100
2047 -12
-2048 -696
-2008 -1403
-1460 -916
-2048 -248
2047 48
2047 -472
-1970 -1340
-2048 -1005
-2048 -530
-2048 -2033
-2047 -393
-2043 1087
389 673
-2048 78
2047 1453
2047 729
-2048 217
1316 1473
2047 483
-2048 56
2047 1596
2047 633
2047 196
-2035 1340
2047 1048
2047 151
2047 473
2047 1515
-2042 -34
-2047 218
2047 1513
2047 635
-2047 53
-271 1578
672 679
-2047 172
-1189 1475
438 754
2047 188
2025 1515
436 707
-2048 184
2047 1698
-2019 569
-2045 35
-1332 962
2047 1194
2047 113
2047 595
2003 1313
2047 116
2047 440
2047 1299
2047 133
-2047 410
2047 1625
2047 343
2047 294
2047 1639
-393 273
-2048 193
984 1553
-689 438
-2048 150
438 1365
2047 264
-2047 169
-982 1535
579 493
2047 302
2047 1509
2047 419
-2047 113
-2045 1205
1713 1240
2047 154
2047 226
449 1409
2047 747
-2047 41
2047 862
1639 1069
2047 161
2047 217
2047 1187
2047 1168
-2027 -18
2047 187
2047 1194
1342 1191
2047 635
2047 248
-1419 1091
2047 1431
2047 327
2047 304
-2048 1015
2047 1587
2047 650
2047 175
2047 1081
2047 1422
-1558 174
-2046 7
2047 1158
2047 997
2047 182
-2048 206
-196 1433
2047 2032
2047 412
-1742 -343
-2048 -567
1339 22
2047 -342
-2048 -787
-2048 -117
-2047 -93
2047 -429
-2048 -803
2047 -61
2047 -182
-2046 -1182
-851 -859
2047 48
-2047 -671
-2046 -1311
379 -461
2047 -5
-2048 -1495
-1933 -947
1255 2
2047 -334
-2048 -1086
839 -109
-2048 -71
2047 -617
-2048 -615
-2048 -87
2047 -90
-2045 -1258
-2048 -766
2047 32
-2048 -502
-2047 -1508
-917 -664
2047 32
2047 -516
-2048 -804
2047 -39
2047 -156
-2047 -1402
-1035 -612
-2048 -78
-2048 -118
2047 -523
-2048 -770
-2048 -85
-2048 -197
2047 -731
-2047 -834
-2047 -64
2047 -95
-334 -1132
30 -375
-2048 -227
-2048 -713
-2010 -1204
-2048 -555
2047 42
-2048 -776
-1502 -1083
-2048 -440
-2048 -94
2047 -136
989 -1067
-2048 -813
-2048 -80
2047 -11
2047 -687
-2048 -1174
-2048 -589
1420 -38
-2047 -191
2047 -354
317 -1367
1197 -153
2047 9
-2047 -892
-2048 -1409
-2048 -889
2047 31
2047 -101
1484 -832
-2046 -1009
-210 -503
-2048 -114
~2047 -21
-2047 -933
-1455 -1297
-2047 -775
-2048 -113
-2048 -88
-2048 -237
-2047 -598
-2029 -1365
-1481 -998
-2048 -276
-2048 -98
-2048 -2033
-1307 38
2047 143
2047 298
2047 1493
-1112 103
2047 280
2047 1611
2047 323
-2048 123
2047 1621
2047 904
.Connected.
Connected.

Disconnected.
