5 -31
-250 -15
-193 23
-122 30
-28 42
235 47
337 44
529 33
706 42
597 19
487 0
65 -18
-280 -34
-248 -14
-187 16
-122 32
-27 35
225 49
332 42
532 32
679 39
612 24
497 2
129 -13
190 -9
-124 -24
-254 -13
-195 19
-15 42
251 56
316 39
514 33
690 35
584 27
492 14
406 -4
216 -10
300 -4
97 -11
-283 -33
-262 -7
-222 4
-136 26
-57 33
185 51
262 37
439 42
701 40
649 26
538 22
441 -2
292 0
440 0
556 12
396 -3
240 -13
-275 -27
-242 -2
-203 10
-149 19
-58 30
-20 41
247 48
345 39
613 36
672 34
571 23
488 -1
346 -3
218 -15
217 -16
290 -10
356 -5
167 -20
-289 -28
-247 -3
-203 14
-135 29
-33 33
4 43
19 43
153 42
217 40
329 35
558 32
673 34
578 23
486 5
161 -12
192 -17
260 -8
91 -12
-286 -28
-247 -12
-185 22
-125 38
-32 43
15 41
-23 51
26 48
160 39
252 44
340 31
573 39
680 38
611 18
470 2
550 20
435 -1
339 -2
123 -19
230 -8
-28 -17
-237 -7
-205 5
-119 32
-27 40
245 47
397 46
560 33
691 40
612 18
473 0
546 23
486 6
611 27
495 0
559 19
449 5
600 25
455 0
96 -12
-256 -16
-204 6
-128 40
146 44
203 43
318 41
512 32
729 35
599 24
502 2
570 23
535 16
365 -5
204 -17
308 -15
-276 -33
-236 0
-227 0
-153 21
-84 36
114 45
205 51
300 49
384 30
611 33
634 32
552 16
428 -4
311 -10
362 0
478 -2
321 -5
194 -14
-270 -32
-234 0
-219 7
-143 18
-61 38
171 50
224 41
335 35
534 32
660 41
601 26
476 0
133 -13
194 -10
237 -5
71 -13
-278 -24
-242 -11
-184 22
-122 33
-16 38
38 41
185 47
267 47
391 39
569 31
629 39
569 22
449 2
589 21
462 -1
663 42
581 29
483 7
146 -11
220 -9
-76 -18
-266 -19
-220 1
-149 25
-66 39
-22 47
255 57
357 46
513 34
665 44
625 33
541 9
586 26
479 10
381 -1
206 -6
5 -10
-282 -27
-235 3
-154 16
-86 34
97 37
289 42
491 41
688 43
599 28
540 15
413 0
-98 -20
-259 -17
-231 6
-148 25
78 45
18 46
185 53
272 46
332 37
603 37
626 32
582 26
483 7
68 -10
-260 -11
-210 -1
-156 24
55 46
33 54
134 46
224 46
335 43
514 36
689 43
639 24
461 4
121 -10
228 -6
-66 -18
-244 -2
-200 10
-143 26
-63 40
131 49
232 52
373 51
480 31
662 38
602 32
468 10
382 -2
180 -13
269 -7
93 -10
-273 -27
-242 -9
-208 8
-126 35
-45 37
188 51
304 49
434 44
629 40
671 40
569 25
404 3
18 -12
-270 -21
-233 -6
-204 14
-156 30
-71 38
103 43
187 52
265 50
461 50
743 49
634 39
542 22
422 4
557 23
435 2
520 30
443 2
564 19
432 4
531 21
425 0
-26 -15
-256 -18
-218 1
-143 32
68 51
40 46
163 46
253 49
378 45
661 42
694 39
576 21
461 6
578 22
461 0
55 -17
-254 -17
-208 5
-122 34
128 45
225 46
351 45
464 30
659 38
589 24
474 13
382 -4
209 -8
-23 -16
-239 -4
