-232 -17
206 -25
169 -12
-215 -15
159 8
76 71
-49 18
209 -14
174 -17
147 3
77 64
284 68
-284 -25
219 -22
-298 -33
188 -6
121 28
81 73
-20 45
237 -9
-216 -13
-199 -7
133 28
61 78
-51 25
236 -11
-264 -29
188 -4
-185 21
103 60
159 84
-84 6
186 -12
-237 -12
112 15
-87 54
16 78
203 -12
186 -24
160 -15
-198 -7
-89 42
85 66
-92 -2
-307 -32
203 -7
-186 0
86 63
-38 31
-154 -31
211 -26
-247 -26
160 -1
145 18
84 60
2 46
-271 -33
-298 -39
183 -10
174 -2
127 27
3 59
233 38
-289 -37
197 -25
179 -16
182 1
140 59
43 71
258 14
-307 -34
-307 -37
190 -19
-297 -23
160 -8
136 26
-38 60
-4 73
221 -9
-311 -33
-303 -24
-244 -21
182 -13
162 9
77 64
31 61
231 -11
215 -10
-278 -17
-252 -12
167 3
-61 47
51 87
249 13
223 -15
210 -6
185 16
100 50
73 74
-29 16
212 -24
190 -17
187 -5
-147 7
47 64
244 51
205 -1
205 -20
165 -13
135 -1
111 39
71 71
256 30
186 -25
203 -22
-265 -25
156 -2
-161 19
96 51
252 70
231 23
212 -21
-223 -19
-242 -10
140 7
74 74
-54 19
-333 -38
200 -14
-215 -11
-217 -9
125 33
63 76
-155 1
-316 -37
169 -19
-237 -12
182 12
-104 46
40 75
-151 7
-266 -32
215 -9
121 6
98 71
-12 35
238 -22
192 -12
177 -2
-78 32
58 83
-33 10
-310 -31
205 -5
-193 3
27 59
278 72
218 -13
211 -2
-177 1
-107 41
34 88
-34 19
-304 -39
213 -14
-195 -13
-224 -5
111 30
38 79
-101 3
226 -21
-242 -27
170 3
99 50
-23 57
216 -11
272 -11
191 -6
126 20
80 65
-4 36
-298 -38
167 -16
-216 -10
161 7
87 58
235 37
201 -12
-276 -35
-220 -18
159 2
81 51
271 66
203 -16
-291 -23
-291 -36
181 -5
-162 15
-97 50
236 87
242 15
208 -15
-286 -24
-228 -14
151 6
105 60
214 69
238 7
182 -5
117 20
-31 69
-44 62
222 5
156 -7
-91 20
36 70
243 36
-299 -44
200 -23
-222 -12
-200 -3
119 36
~205 84
-43 51
214 -7
-285 -25
-284 -17
158 8
-15 64
264 85
-111 6
188 -19
-229 -12
-247 -6
135 29
93 83
244 28
204 -15
-249 -22
-227 -21
-250 -2
-144 21
101 59
141 75
-88 7
-275 -25
-258 -21
-211 -13
-200 4
33 51
-4 45
215 -23
192 -11
163 -1
-124 20
82 51
226 66
-115 4
-309 -39
-316 -38
210 -18
-228 -16
-248 -12
165 3
-5 54
4 63
207 -9
181 -6
7 26
172 76
251 40
-262 -29
229 -10
-247 -28
-269 -25
205 -7
-138 8
80 71
13 63
212 -25
.179 -17
Connected.
Connected.

Disconnected.
